proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathwayClass	pathwayType
14992	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Fatty acid biosynthesis (path 2)	Lipid Metabolism	METABOLIC
14992	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
14992	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
14992	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Propanoate metabolism	Carbohydrate Metabolism	METABOLIC
14992	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Fatty acid metabolism	Lipid Metabolism	METABOLIC
14992	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Synthesis and degradation of ketone bodies	Lipid Metabolism	METABOLIC
14992	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Butanoate metabolism	Carbohydrate Metabolism	METABOLIC
14992	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
14992	2.3.1.9	Acetyl-CoA C-acetyltransferase.	2 acetyl-CoA = CoA + acetoacetyl-CoA.		Alpha-methylacetoaceticaciduria; MIM:203750.	Lysine degradation	Amino Acid Metabolism	METABOLIC
15332	1.14.14.23							
15332	1.14.14.29							
23489	3.1.11.2	Exodeoxyribonuclease III.	"Degradation of double-stranded DNA. It acts progressively in a 3'- to 5'-direction, releasing 5'-phosphomononucleotides."					
27887	3.6.3.44	Xenobiotic-transporting ATPase.	ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).					
28828	1.3.1.13	Prephenate dehydrogenase (NADP+).	Prephenate + NADP(+) = 4-hydroxyphenylpyruvate + CO(2) + NADPH.			Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
29676	3.6.1.11	Exopolyphosphatase.	{Polyphosphate}(N) + H(2)O = {polyphosphate}(N-1) + phosphate.			Purine metabolism	Nucleotide Metabolism	METABOLIC
35541	2.5.1.18	Glutathione transferase.	RX + glutathione = HX + R-S-glutathione.			Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC
36349	2.5.1.129							
36357	4.1.1.102							
37522	2.1.1.319							
39214	1.11.1.5	Cytochrome-c peroxidase.	2 ferrocytochrome c + H(2)O(2) = 2 ferricytochrome c + 2 H(2)O.	Heme.				
39871	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
39871	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
39871	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
39871	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
39871	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
39871	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Styrene degradation	Biodegradation of Xenobiotics	METABOLIC
39946	1.14.11.27							
42257	2.7.11.1							
42257	2.7.11.17							
43781	1.1.5.3							
44546	2.3.2.25							
46656	3.4.11.9	Xaa-Pro aminopeptidase.	Release of any N-terminal amino acid, including proline, that is linked with proline, even from a dipeptide or tripeptide.	Manganese or Cobalt.				
47633	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
47633	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
47633	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
47633	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
47633	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
47633	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Styrene degradation	Biodegradation of Xenobiotics	METABOLIC
54449	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Galactose metabolism	Carbohydrate Metabolism	METABOLIC
54449	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
54449	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Globoside metabolism	Metabolism of Complex Lipids	METABOLIC
54449	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
55015	1.14.19.20							
57151	3.2.1.14	Chitinase.	Hydrolysis of the 1,4-beta-linkages of N-acetyl-D-glucosamine polymers of chitin.			Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
57367	1.4.1.13	Glutamate synthase (NADPH).	2 L-glutamate + NADP(+) = L-glutamine + 2-oxoglutarate + NADPH.	Iron-sulfur; FAD; FMN.		Glutamate metabolism	Amino Acid Metabolism	METABOLIC
57367	1.4.1.13	Glutamate synthase (NADPH).	2 L-glutamate + NADP(+) = L-glutamine + 2-oxoglutarate + NADPH.	Iron-sulfur; FAD; FMN.		Nitrogen metabolism	Energy Metabolism	METABOLIC
57367	1.4.1.14	Glutamate synthase (NADH).	2 L-glutamate + NAD(+) = L-glutamine + 2-oxoglutarate + NADH.	FMN.		Glutamate metabolism	Amino Acid Metabolism	METABOLIC
57367	1.4.1.14	Glutamate synthase (NADH).	2 L-glutamate + NAD(+) = L-glutamine + 2-oxoglutarate + NADH.	FMN.		Nitrogen metabolism	Energy Metabolism	METABOLIC
57579	2.7.11.1							
58093	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.					
58371	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.					
58371	3.1.3.48	Protein-tyrosine-phosphatase.	Protein tyrosine phosphate + H(2)O = protein tyrosine + phosphate.					
62778	1.8.1.2	Sulfite reductase (NADPH).	H(2)S + 3 NADP(+) + 3 H(2)O = sulfite + 3 NADPH.	FAD; FMN; Heme.		Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
62778	1.8.1.2	Sulfite reductase (NADPH).	H(2)S + 3 NADP(+) + 3 H(2)O = sulfite + 3 NADPH.	FAD; FMN; Heme.		Sulfur metabolism	Energy Metabolism	METABOLIC
63038	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.					
63070	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.					
64244	3.1.3.64	Phosphatidylinositol-3-phosphatase.	Phosphatidylinositol 3-phosphate + H(2)O = phosphatidylinositol + phosphate.			Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
64244	3.1.3.95							
64619	5.4.2.8	Phosphomannomutase.	D-mannose 1-phosphate = D-mannose 6-phosphate.			Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
65024	3.5.1.49	Formamidase.	Formamide + H(2)O = formate + NH(3).			Glyoxylate and dicarboxylate metabolism	Carbohydrate Metabolism	METABOLIC
65024	3.5.1.49	Formamidase.	Formamide + H(2)O = formate + NH(3).			Nitrogen metabolism	Energy Metabolism	METABOLIC
65024	3.5.1.49	Formamidase.	Formamide + H(2)O = formate + NH(3).			Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
69140	2.7.7.49	RNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).					
69730	2.7.11.1							
69730	2.7.11.17							
74162	2.1.1.17	Phosphatidylethanolamine N-methyltransferase.	S-adenosyl-L-methionine + phosphatidylethanolamine = S-adenosyl-L- homocysteine + phosphatidyl-N-methylethanolamine.			Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
76010	1.8.3.5							
76010	1.8.3.6							
77838	3.5.1.54	Allophanate hydrolase.	Urea-1-carboxylate + H(2)O = 2 CO(2) + 2 NH(3).			Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
77838	3.5.1.54	Allophanate hydrolase.	Urea-1-carboxylate + H(2)O = 2 CO(2) + 2 NH(3).			Atrazine degradation	Biodegradation of Xenobiotics	METABOLIC
77838	6.3.4.6	Urea carboxylase.	ATP + urea + CO(2) = ADP + phosphate + urea-1-carboxylate.	Biotin.		Nitrogen metabolism	Energy Metabolism	METABOLIC
77838	6.3.4.6	Urea carboxylase.	ATP + urea + CO(2) = ADP + phosphate + urea-1-carboxylate.	Biotin.		Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
77865	2.7.1.78	"Polynucleotide 5'-hydroxyl-kinase."	"ATP + 5'-dephospho-DNA = ADP + 5'-phospho-DNA."					
79254	1.1.1.100	3-oxoacyl-[acyl-carrier protein] reductase.	(3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP(+) = 3-oxoacyl- [acyl-carrier protein] + NADPH.			Fatty acid biosynthesis (path 1)	Lipid Metabolism	METABOLIC
81444	3.2.1.96	Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase.	Endohydrolysis of the di-N-acetylchitobiosyl unit in high-mannose glycopeptides and glycoproteins containing the -[Man(GlcNAc)2]Asn- structure. One N-acetyl-D-glucosamine residue remains attached to the protein; the rest of the oligosaccharide is released			N-Glycan degradation	Metabolism of Complex Carbohydrates	METABOLIC
81571	4.1.3.1	Isocitrate lyase.	Isocitrate = succinate + glyoxylate.			Glyoxylate and dicarboxylate metabolism	Carbohydrate Metabolism	METABOLIC
81610	3.6.3.44	Xenobiotic-transporting ATPase.	ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).					
85835	3.6.3.44	Xenobiotic-transporting ATPase.	ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).					
87783	2.5.1.18	Glutathione transferase.	RX + glutathione = HX + R-S-glutathione.			Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC
88349	6.1.1.21	Histidine--tRNA ligase.	ATP + L-histidine + tRNA(His) = AMP + diphosphate + L-histidyl- tRNA(His).			Histidine metabolism	Amino Acid Metabolism	METABOLIC
88349	6.1.1.21	Histidine--tRNA ligase.	ATP + L-histidine + tRNA(His) = AMP + diphosphate + L-histidyl- tRNA(His).			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
91793	3.4.19.12	Ubiquitinyl hydrolase 1.	Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).					
93188	3.4.11.21	Aspartyl aminopeptidase.	Release of an N-terminal aspartate or glutamate from a peptide, with a preference for aspartate.					
94395	4.1.1.105							
94395	4.1.1.28	Aromatic-L-amino-acid decarboxylase.	L-tryptophan = tryptamine + CO(2).	Pyridoxal-phosphate.		Alkaloid biosynthesis I	Biosynthesis of Secondary Metabolites	METABOLIC
94395	4.1.1.28	Aromatic-L-amino-acid decarboxylase.	L-tryptophan = tryptamine + CO(2).	Pyridoxal-phosphate.		Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
94395	4.1.1.28	Aromatic-L-amino-acid decarboxylase.	L-tryptophan = tryptamine + CO(2).	Pyridoxal-phosphate.		Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
94395	4.1.1.28	Aromatic-L-amino-acid decarboxylase.	L-tryptophan = tryptamine + CO(2).	Pyridoxal-phosphate.		Histidine metabolism	Amino Acid Metabolism	METABOLIC
94395	4.1.1.28	Aromatic-L-amino-acid decarboxylase.	L-tryptophan = tryptamine + CO(2).	Pyridoxal-phosphate.		Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
95336	2.2.1.6							
95660	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).					
95750	3.1.2.1	Acetyl-CoA hydrolase.	Acetyl-CoA + H(2)O = CoA + acetate.			Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
98413	3.1.4.54							
100781	2.5.1.61							
103151	1.6.5.3	NADH dehydrogenase (ubiquinone).	NADH + ubiquinone = NAD(+) + ubiquinol.	FAD; Iron-sulfur.		Oxidative phosphorylation	Energy Metabolism	METABOLIC
103151	1.6.5.3	NADH dehydrogenase (ubiquinone).	NADH + ubiquinone = NAD(+) + ubiquinol.	FAD; Iron-sulfur.		Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
103151	1.6.99.3	NADH dehydrogenase.	NADH + acceptor = NAD(+) + reduced acceptor.	Flavoprotein; Iron-sulfur.				
105440	6.3.2.3	Glutathione synthase.	ATP + gamma-L-glutamyl-L-cysteine + glycine = ADP + phosphate + glutathione.		Hemolytic anemia due to glutathione synthetase deficiency; MIM:231900. 5-oxoprolinuria (pyroglutamicaciduria); MIM:266130.	Glutamate metabolism	Amino Acid Metabolism	METABOLIC
105440	6.3.2.3	Glutathione synthase.	ATP + gamma-L-glutamyl-L-cysteine + glycine = ADP + phosphate + glutathione.		Hemolytic anemia due to glutathione synthetase deficiency; MIM:231900. 5-oxoprolinuria (pyroglutamicaciduria); MIM:266130.	Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC
105527	3.4.22.68							
107709	3.6.5.4							
108451	6.1.1.7	Alanine--tRNA ligase.	ATP + L-alanine + tRNA(Ala) = AMP + diphosphate + L-alanyl-tRNA(Ala).			Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
108451	6.1.1.7	Alanine--tRNA ligase.	ATP + L-alanine + tRNA(Ala) = AMP + diphosphate + L-alanyl-tRNA(Ala).			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
110592	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP).	ATP + oxaloacetate = ADP + phosphoenolpyruvate + CO(2).			Carbon fixation	Energy Metabolism	METABOLIC
110592	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP).	ATP + oxaloacetate = ADP + phosphoenolpyruvate + CO(2).			Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
110592	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP).	ATP + oxaloacetate = ADP + phosphoenolpyruvate + CO(2).			Citrate cycle (TCA cycle)	Carbohydrate Metabolism	METABOLIC
111581	1.10.3.3	L-ascorbate oxidase.	2 L-ascorbate + O(2) = 2 dehydroascorbate + 2 H(2)O.	Copper.		Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC
112335	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.		Glutathionuria; MIM:231950.	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
112335	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.		Glutathionuria; MIM:231950.	Taurine and hypotaurine metabolism	Metabolism of Other Amino Acids	METABOLIC
112335	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.		Glutathionuria; MIM:231950.	Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC
112335	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.		Glutathionuria; MIM:231950.	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
112335	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.		Glutathionuria; MIM:231950.	Prostaglandin and leukotriene metabolism	Metabolism of Complex Lipids	METABOLIC
112335	3.4.19.13							
113545	2.8.1.14							
113715	2.1.1.145							
114128	2.7.13.3							
117002	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.					
117002	3.1.3.48	Protein-tyrosine-phosphatase.	Protein tyrosine phosphate + H(2)O = protein tyrosine + phosphate.					
117002	3.1.3.67	Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase.	Phosphatidyl inositol-3,4,5-trisphosphate + H(2)O = phosphatidyl inositol-4,5-bisphosphate + phosphate.	Magnesium.				
117268	3.6.4.12							
118179	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).			Purine metabolism	Nucleotide Metabolism	METABOLIC
118179	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).			  DNA polymerase	REPLICATION AND REPAIR	REGULATORY
118179	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
119559	2.7.11.22							
119559	2.7.11.23							
120502	2.3.1.7	Carnitine O-acetyltransferase.	Acetyl-CoA + carnitine = CoA + O-acetylcarnitine.			Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
124872	1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase.	2-dehydro-3-deoxy-D-gluconate + NAD(+) = (4S)-4,6-dihydroxy-2,5- dioxohexanoate + NADH.			Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
126100	2.1.1.56	mRNA (guanine-N7-)-methyltransferase.	"S-adenosyl-L-methionine + G(5')PPPR-RNA = S-adenosyl-L-homocysteine + m7G(5')PPPR-RNA."					
129196	3.5.1.89							
129432	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.		Caprolactam degradation	Biodegradation of Xenobiotics	METABOLIC
129432	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.		Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
129432	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.		Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
129432	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.		Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
129647	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Galactose metabolism	Carbohydrate Metabolism	METABOLIC
129647	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
129647	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Globoside metabolism	Metabolism of Complex Lipids	METABOLIC
129647	3.2.1.22	Alpha-galactosidase.	Melibiose + H(2)O = galactose + glucose.	Magnesium; NAD.	Diffuse angiokeratoma (Fabry disease); MIM:301500.	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
130725	2.3.2.27							
132539	2.1.1.319							
133116	6.1.1.22	Asparagine--tRNA ligase.	ATP + L-asparagine + tRNA(Asn) = AMP + diphosphate + L-asparaginyl- tRNA(Asn).			Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
133116	6.1.1.22	Asparagine--tRNA ligase.	ATP + L-asparagine + tRNA(Asn) = AMP + diphosphate + L-asparaginyl- tRNA(Asn).			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
136023	2.5.1.48							
136023	4.4.1.8	Cystathionine beta-lyase.	Cystathionine + H(2)O = L-homocysteine + NH(3) + pyruvate.	Pyridoxal-phosphate.		Nitrogen metabolism	Energy Metabolism	METABOLIC
136023	4.4.1.8	Cystathionine beta-lyase.	Cystathionine + H(2)O = L-homocysteine + NH(3) + pyruvate.	Pyridoxal-phosphate.		Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
136023	4.4.1.8	Cystathionine beta-lyase.	Cystathionine + H(2)O = L-homocysteine + NH(3) + pyruvate.	Pyridoxal-phosphate.		Methionine metabolism	Amino Acid Metabolism	METABOLIC
136023	4.4.1.8	Cystathionine beta-lyase.	Cystathionine + H(2)O = L-homocysteine + NH(3) + pyruvate.	Pyridoxal-phosphate.		Cysteine metabolism	Amino Acid Metabolism	METABOLIC
136023	4.4.1.8	Cystathionine beta-lyase.	Cystathionine + H(2)O = L-homocysteine + NH(3) + pyruvate.	Pyridoxal-phosphate.		Sulfur metabolism	Energy Metabolism	METABOLIC
136253	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).					
138817	2.7.11.1							
147300	3.1.4.3	Phospholipase C.	A phosphatidylcholine + H(2)O = 1,2-diacylglycerol + choline phosphate.	Zinc.		Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
147300	3.1.4.3	Phospholipase C.	A phosphatidylcholine + H(2)O = 1,2-diacylglycerol + choline phosphate.	Zinc.		Phospholipid degradation	Metabolism of Complex Lipids	METABOLIC
147300	3.1.4.3	Phospholipase C.	A phosphatidylcholine + H(2)O = 1,2-diacylglycerol + choline phosphate.	Zinc.		Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
147300	3.1.4.3	Phospholipase C.	A phosphatidylcholine + H(2)O = 1,2-diacylglycerol + choline phosphate.	Zinc.		Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
147452	1.14.13.63	3-hydroxyphenylacetate 6-hydroxylase.	3-hydroxyphenylacetate + NAD(P)H + O(2) = Homogentisate + NAD(P)(+) + H(2)O.	FAD.				
147550	3.7.1.2	Fumarylacetoacetase.	4-fumarylacetoacetate + H(2)O = acetoacetate + fumarate.		Tyrosinemia I; MIM:276700.	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
147550	3.7.1.2	Fumarylacetoacetase.	4-fumarylacetoacetate + H(2)O = acetoacetate + fumarate.		Tyrosinemia I; MIM:276700.	Styrene degradation	Biodegradation of Xenobiotics	METABOLIC
147556	1.13.11.5	Homogentisate 1,2-dioxygenase.	Homogentisate + O(2) = 4-maleylacetoacetate.	Iron.	Alkaptonuria; MIM:203500.	Styrene degradation	Biodegradation of Xenobiotics	METABOLIC
147556	1.13.11.5	Homogentisate 1,2-dioxygenase.	Homogentisate + O(2) = 4-maleylacetoacetate.	Iron.	Alkaptonuria; MIM:203500.	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
149129	2.5.1.16	Spermidine synthase.	"S-adenosylmethioninamine + putrescine = 5'-methylthioadenosine + spermidine."			Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
149129	2.5.1.16	Spermidine synthase.	"S-adenosylmethioninamine + putrescine = 5'-methylthioadenosine + spermidine."			beta-Alanine metabolism	Metabolism of Other Amino Acids	METABOLIC
149129	2.5.1.16	Spermidine synthase.	"S-adenosylmethioninamine + putrescine = 5'-methylthioadenosine + spermidine."			Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
150697	2.4.1.232							
151818	3.6.4.13							
